"","x.state","hlthpln1","se","persdoc2","se","x.rfhlth","se"
"1",1,0.871516267060972,0.00618722551280904,0.78677025964093,0.00729493312956177,0.773889818989998,0.00652998597722689
"2",2,0.89311641635465,0.00975905056302313,0.678448640592608,0.0148297721833909,0.861689060149185,0.00932105980617216
"4",4,0.875228029795984,0.0070102661778068,0.733311623863658,0.00822014950545617,0.814379065785511,0.00651157209350595
"5",5,0.896385143171169,0.00922837817761126,0.803208243312092,0.0117352697764143,0.744314631829779,0.0105783799020737
"6",6,0.892070304418142,0.00375066038107663,0.760051510216134,0.00506089316427742,0.821558034541302,0.00470829163462557
"8",8,0.893864274662003,0.00382569168373458,0.743893136580458,0.0052189997626872,0.855356047674868,0.00382147173346073
"9",9,0.931366875982387,0.00416704986002848,0.851763673470404,0.00563540732857858,0.85634557256344,0.0046457114029381
"10",10,0.914426324211135,0.00686577083016258,0.83194630655548,0.00888118121367608,0.835833018283885,0.00770533076373153
"11",11,0.947030797653765,0.00564546335771339,0.753248775555144,0.0101737945039024,0.884893217124739,0.00648542443529731
"12",12,0.836730197143172,0.00431438488033298,0.719589028907603,0.00510964387939641,0.805058513695647,0.00452322040125659
"13",13,0.829968246793844,0.00756615511358493,0.727139129618209,0.00876770625522041,0.809046253700947,0.00709762110226455
"15",15,0.929897216502755,0.00466816034775965,0.847165374761829,0.00617105752416507,0.852403826799524,0.00569705709684359
"16",16,0.844873963759956,0.00849557714908862,0.723231335915135,0.00992487625059741,0.841273004891069,0.00718349751270948
"17",17,0.909855933975455,0.00575517918998564,0.821435438144263,0.00749319390586713,0.819667810352283,0.00692942961670984
"18",18,0.889190486254324,0.00525295309599038,0.817361869470371,0.00605747735284724,0.815306321313842,0.0051018219868292
"19",19,0.935372699478393,0.00451336332686445,0.833862553521366,0.00637750236176398,0.860753788216064,0.00515349351718385
"20",20,0.871452429933837,0.0044993258944174,0.775985722946714,0.00547797204967005,0.846116586063931,0.0041091649316923
"21",21,0.943092741714269,0.00392088140825238,0.796103906354781,0.0066944260779777,0.775330899518436,0.00607888319773179
"22",22,0.864010190280104,0.00863402751988792,0.753701989707728,0.0107148887459935,0.781081096391583,0.0087966987721743
"23",23,0.912998063357834,0.00500009907943092,0.881083234535267,0.00573366459748393,0.836325022552441,0.00567192731390868
"24",24,0.915971698260788,0.00405538946794593,0.847760791737239,0.00494448980093995,0.855783177648295,0.00420704474158866
"25",25,0.942943531532051,0.00398990067905997,0.889057153216837,0.00490590524501893,0.859404481500285,0.00537587854546959
"26",26,0.918116367739287,0.00369866034107923,0.852192481367813,0.00456773752984058,0.819727025139091,0.00445675145041262
"27",27,0.935997537710414,0.00249720907098086,0.727271621916031,0.00433320279870568,0.873031443512758,0.00309469043066993
"28",28,0.834290092077015,0.00782384744612282,0.773806672511357,0.00888304215323765,0.768229138781248,0.00755404891066514
"29",29,0.888990838152865,0.00623796330791204,0.779546783440388,0.00825601748707976,0.810035299447105,0.00688930849601355
"30",30,0.89994738101054,0.00632929223651645,0.736106340653133,0.00875309923064947,0.844191520101853,0.00638886694490971
"31",31,0.87830917753947,0.00496573293863253,0.809313476358707,0.00560919619826257,0.853230095241034,0.00442730700914943
"32",32,0.854408998827037,0.00813152567692959,0.692496037389566,0.0105116092074306,0.790579700675696,0.00907950187043362
"33",33,0.932464593806978,0.0049152723613583,0.878625757802963,0.00679121135346272,0.859430208738846,0.00616436858125062
"34",34,0.892619611703191,0.00598004390676585,0.822700243711573,0.00720585974247848,0.824508512717653,0.00686734771513371
"35",35,0.902132407869356,0.00629177556291043,0.701043936103906,0.00955762096849314,0.783391169508671,0.00762424300041019
"36",36,0.904909409754185,0.00368808821701381,0.833768292814189,0.00434641929075657,0.830920568486928,0.00418196456211577
"37",37,0.862331171722611,0.0056167537582408,0.787543562256342,0.00649646931003302,0.817090149205231,0.00583420167039264
"38",38,0.922138687458834,0.00532529674476005,0.738952392364588,0.00827436063599857,0.851821521469959,0.00616266864211578
"39",39,0.931570535203167,0.00394550572373187,0.826631414632586,0.00587527210787635,0.820037508296825,0.00525920135278445
"40",40,0.852166618664856,0.00685912726418093,0.752843214980186,0.00806099326747071,0.798545208310989,0.00642153294697911
"41",41,0.908411280053383,0.00534399851221143,0.785638572809588,0.00709458723530285,0.835986773810836,0.00615976585996644
"42",42,0.931992319371952,0.00466896618098342,0.857750680546746,0.00592029878212959,0.834282115893773,0.00601025895574904
"44",44,0.924354333007442,0.00647416584193892,0.87178769823672,0.00760721253029558,0.843628175001657,0.00698472129039348
"45",45,0.869274249201291,0.00528795058444453,0.784231533800918,0.00636352027040537,0.799834139188494,0.0052842807827146
"46",46,0.917887098006968,0.00705721041534064,0.760263096413872,0.0107245144910803,0.869727812700768,0.00732783666198996
"47",47,0.886869611299029,0.00656670214580809,0.780051112619348,0.00839322020933496,0.795819764076204,0.00688545605706577
"48",48,0.782902837148733,0.00782306986039502,0.689068200281864,0.00859219545811148,0.816882852071528,0.00672775560817398
"49",49,0.884506056665015,0.00484347163493967,0.727577482098933,0.00623908272949992,0.883042244331138,0.00422642282905917
"50",50,0.947501425815826,0.00416467441374731,0.880460516696832,0.00627129185020537,0.865354522103571,0.00578656565535492
"51",51,0.886494591169097,0.00476282854803845,0.779350577448419,0.00607500438116263,0.836867961292976,0.00488897736298895
"53",53,0.912632015079704,0.00357414657664903,0.756842361591847,0.00508762954206403,0.856341014390046,0.00377472473432653
"54",54,0.926742984805671,0.00428092539313546,0.804984379341138,0.00615701186035555,0.737366543808399,0.00606619540641869
"55",55,0.912975079780783,0.00622794592681846,0.828799334084484,0.00781135195312229,0.840426521901612,0.00699460818889079
"56",56,0.863317126266614,0.00905102715378178,0.689021432051287,0.0116292977549153,0.843482368247287,0.00823893606962835
"66",66,0.770450078700934,0.0177353646258928,0.680367242397444,0.0186914998906706,0.78186039715381,0.0159491083135574
"72",72,0.925939297490954,0.0053949450411179,0.830207714562623,0.00732906235207004,0.656603381954757,0.00867188288238901
"78",78,0.704718703406658,0.0222411824093383,0.669834789497947,0.0218555221977435,0.797123214794549,0.0180808727398689
