"","x.state","diabete3","se"
"1",1,0.162797444279693,0.00599444256160674
"2",2,0.0926170236207499,0.00946684490522662
"4",4,0.121978992950461,0.00484836837963032
"5",5,0.150855923012888,0.0082240937600161
"6",6,0.130022977699817,0.00484860378158635
"8",8,0.0763781326296948,0.00278718541372621
"9",9,0.11458929594523,0.00453248811289667
"10",10,0.132740069775763,0.0075527303905182
"11",11,0.082978863434328,0.00488387712774217
"12",12,0.140735000046144,0.00402875648130117
"13",13,0.145335411304775,0.00633402851868815
"15",15,0.124843398056071,0.005263433899241
"16",16,0.102276573152236,0.00593449436557478
"17",17,0.119380573101341,0.00600824131575787
"18",18,0.128400518385315,0.00422926502574496
"19",19,0.102213957278816,0.00418046234547879
"20",20,0.114067806417922,0.00368321099088179
"21",21,0.156513107974135,0.00619346907197784
"22",22,0.138356098367429,0.00727956830815047
"23",23,0.117681310245505,0.00476659347681468
"24",24,0.121730006651901,0.00389594627147742
"25",25,0.118038310506877,0.00550405690376451
"26",26,0.122135423528146,0.00373720999290914
"27",27,0.107849712077434,0.00305548766985599
"28",28,0.155749039261036,0.00700285094053591
"29",29,0.127011544950596,0.00572481081837562
"30",30,0.0878943618491623,0.00471940121699389
"31",31,0.107688065344622,0.00417236312811561
"32",32,0.127674191062908,0.00742984247423793
"33",33,0.1075687071285,0.00551064581171414
"34",34,0.114035866203698,0.00606454426378571
"35",35,0.133676650040688,0.0066388029960943
"36",36,0.116784767150235,0.00362123551768176
"37",37,0.124429060209306,0.00488043910666681
"38",38,0.0960704381243193,0.00475646820109286
"39",39,0.128895576978249,0.00476343936706728
"40",40,0.12891873273675,0.00505421035328542
"41",41,0.121254344862972,0.00586028707980567
"42",42,0.130762564726722,0.00565996250340295
"44",44,0.109351370238547,0.00561514358733368
"45",45,0.144706524488461,0.0044553761527646
"46",46,0.0882648193996819,0.00595080898082806
"47",47,0.150290422707576,0.00681086153202705
"48",48,0.128614342864365,0.00616245379942643
"49",49,0.100580408275608,0.00420253737975698
"50",50,0.0949281839240276,0.00484346308222895
"51",51,0.120886111365671,0.00441324340640153
"53",53,0.107408922353672,0.00330013166155056
"54",54,0.159142792850757,0.00493656399722728
"55",55,0.100931894675566,0.00512205687342241
"56",56,0.0941384878759958,0.00586982600894039
"66",66,0.11622463662078,0.0108435847018086
"72",72,0.161534395404511,0.0065496151139895
"78",78,0.142255843814354,0.0139112217652963
