"","fips","sex","x.race.g1","ssbfrut2"
"10.1.1",10,1,1,3.70443829115709
"18.1.1",18,1,1,3.82722041237927
"19.1.1",19,1,1,2.24086214295138
"28.1.1",28,1,1,4.92769900281433
"34.1.1",34,1,1,2.29067638020285
"36.1.1",36,1,1,2.26743167505701
"54.1.1",54,1,1,3.72126231317865
"10.2.1",10,2,1,2.06015172589194
"18.2.1",18,2,1,2.56684097971308
"19.2.1",19,2,1,1.25852120099695
"28.2.1",28,2,1,3.69300768817751
"34.2.1",34,2,1,1.80829285895326
"36.2.1",36,2,1,1.515616522135
"54.2.1",54,2,1,2.63381638905991
"10.1.2",10,1,2,7.5915634085039
"18.1.2",18,1,2,6.12609985827839
"19.1.2",19,1,2,2.55412931364451
"28.1.2",28,1,2,5.38855812037667
"34.1.2",34,1,2,5.16278982656966
"36.1.2",36,1,2,4.26081744887483
"54.1.2",54,1,2,6.12311610255333
"10.2.2",10,2,2,3.84024741289505
"18.2.2",18,2,2,3.39021164735387
"19.2.2",19,2,2,2.48841682987244
"28.2.2",28,2,2,4.12909895515007
"34.2.2",34,2,2,3.76536353641074
"36.2.2",36,2,2,2.79912582739301
"54.2.2",54,2,2,4.02837819967348
"10.1.3",10,1,3,6.51848547844392
"18.1.3",18,1,3,5.02243859855508
"19.1.3",19,1,3,4.76463687910221
"28.1.3",28,1,3,3.71540582144582
"34.1.3",34,1,3,2.98558042565518
"36.1.3",36,1,3,2.94884383117986
"54.1.3",54,1,3,3.15738354133711
"10.2.3",10,2,3,2.71484071410872
"18.2.3",18,2,3,2.73833680877255
"19.2.3",19,2,3,1.60781516713399
"28.2.3",28,2,3,5.07832802557675
"34.2.3",34,2,3,3.49415561067147
"36.2.3",36,2,3,2.13738731334754
"54.2.3",54,2,3,1.65485090535164
"10.1.4",10,1,4,2.58110959557543
"18.1.4",18,1,4,2.81961104252046
"19.1.4",19,1,4,2.83837635285749
"28.1.4",28,1,4,5.3474866849333
"34.1.4",34,1,4,0.72953967331743
"36.1.4",36,1,4,2.20849320956713
"54.1.4",54,1,4,2.88275028160489
"10.2.4",10,2,4,1.47438936309492
"18.2.4",18,2,4,2.54246804799006
"19.2.4",19,2,4,1.69639653579047
"28.2.4",28,2,4,3.93037640641858
"34.2.4",34,2,4,0.850309833420226
"36.2.4",36,2,4,1.74207304768419
"54.2.4",54,2,4,1.53668947598226
"10.1.5",10,1,5,4.87540330354901
"18.1.5",18,1,5,4.17578310028216
"19.1.5",19,1,5,1.33736842792148
"28.1.5",28,1,5,12.2665011083452
"34.1.5",34,1,5,2.8279312523957
"36.1.5",36,1,5,2.00281757853746
"54.1.5",54,1,5,3.58758247339406
"10.2.5",10,2,5,4.16116237899342
"18.2.5",18,2,5,5.86826314703672
"19.2.5",19,2,5,2.07490752223642
"28.2.5",28,2,5,2.79248412372523
"34.2.5",34,2,5,1.61075882995478
"36.2.5",36,2,5,1.70364670928991
"54.2.5",54,2,5,2.74143313636567
"10.1",10,3,1,2.82601384570618
"18.1",18,3,1,3.16293436723624
"19.1",19,3,1,1.73869212910783
"28.1",28,3,1,4.28010665990267
"34.1",34,3,1,2.03216264412478
"36.1",36,3,1,1.87957273015947
"54.1",54,3,1,3.1594323395324
"10.2",10,3,2,5.58162269561055
"18.2",18,3,2,4.65918711313184
"19.2",19,3,2,2.52575707810845
"28.2",28,3,2,4.68067713397202
"34.2",34,3,2,4.39503708976972
"36.2",36,3,2,3.42604864659474
"54.2",54,3,2,5.04847601504117
"10.3",10,3,3,4.47047327207284
"18.3",18,3,3,3.81026867829761
"19.3",19,3,3,2.97367946950828
"28.3",28,3,3,4.14810478970259
"34.3",34,3,3,3.2403092953887
"36.3",36,3,3,2.51886361104383
"54.3",54,3,3,2.38843839706377
"10.4",10,3,4,2.23475479880308
"18.4",18,3,4,2.7218337107338
"19.4",19,3,4,2.35137593222791
"28.4",28,3,4,4.61727375743272
"34.4",34,3,4,0.79294956507495
"36.4",36,3,4,1.96775513573268
"54.4",54,3,4,2.29967890887809
"10.5",10,3,5,4.43633980608039
"18.5",18,3,5,5.01194194629166
"19.5",19,3,5,1.83088909019917
"28.5",28,3,5,8.86626393999445
"34.5",34,3,5,2.1333206477634
"36.5",36,3,5,1.84713962770397
"54.5",54,3,5,3.17873885893446
"10.11",10,1,6,4.6275588943322
"18.11",18,1,6,4.04790106098422
"19.11",19,1,6,2.34923194847061
"28.11",28,1,6,5.11486380804003
"34.11",34,1,6,2.65805079282759
"36.11",36,1,6,2.62731401175476
"54.11",54,1,6,3.78473679242978
"10.21",10,2,6,2.49770096392236
"18.21",18,2,6,2.68089957856455
"19.21",19,2,6,1.32400535458292
"28.21",28,2,6,3.87315158147012
"34.21",34,2,6,2.28171766015854
"36.21",36,2,6,1.83966862875013
"54.21",54,2,6,2.6601472557283
